Mary queen of Scots,2018,0
Never look away,2018,0
Incredibles 2,2018,0
Mirai,2018,0
Ralph breaks the internet,2018,0
Missing picture,2013,0
Invisible woman,2013,0
Omar,2013,0
Bullhead,2011,0
Chico & Rita,2011,0
Footnote,2011,0
Muppets,2011,1
Real Steel,2011,0
Tempest,2010,0
Hereafter,2010,0
Way back,2010,0
Barney's version,2010,0
Wolfman,2010,1
Salt,2010,0
Country strong,2010,0
Incendies,2010,0
Hors la loi (Outside the law),2010,0
Il Divo,2009,0
Imaginarium of Doctor Parnassus,2009,0
Milk of sorrow,2009,0
Ajami,2009,0
Okuribito,2008,1
Revanche,2008,0
Vals im Bashir,2008,0
Savages,2007,0
Don't tell,2005,0
New world,2005,0
Grandfather,1998,0
Oscar and Lucinda,1997,0
Dust of life (Poussières de vie),1995,0
Hedd Wyn,1993,0
Place in the world (Lugar en el mundo),1992,0
Children of nature (Börn náttúrunnar),1991,0
Ox (Oxen),1991,0
Metropolitan,1990,0
Open doors (Porte aperte),1990,0
Camille Claudel,1989,0
Crimes and misdemeanors,1989,0
What happened to Santiago,1989,0
Bird,1988,0
Handful of dust,1988,0
Hanussen,1988,0
Little Dorrit,1988,0
Mississippi burning,1988,1
Pelle the conqueror,1988,1
Salon Bombay,1988,0
Sunset,1988,0
Unbearable lightness of being,1988,0
Women on the verge of a nervous breakdown  ,1988,0
Anna,1987,0
Babette's feast,1987,1
Course completed,1987,0
Dark eyes,1987,0
Dead,1987,0
Family,1987,0
Gaby- a true story,1987,0
Happy New Year,1987,0
Ironweed,1987,0
Street smart,1987,0
38,1986,0
Assault,1986,1
Decline of the American empire,1986,0
My sweet little village,1986,0
Pirates,1986,0
That's life,1986,0
Angry harvest,1985,0
Chorus line,1985,0
Colonel Redl,1985,0
Jagged edge,1985,0
Official story,1985,1
Ran,1985,1
Return to Oz,1985,0
Sweet dreams,1985,0
Trip to bountiful,1985,1
When father was away on business,1985,0
Beyond the walls,1984,0
Bostonians,1984,0
Broadway Danny Rose,1984,0
Camila,1984,0
Country,1984,0
Dangerous moves,1984,1
Double feature,1984,0
Norte El,1984,0
Passage to India,1984,2
